name;category;subcategory;brand;description;technical_specifications;color;price;image1;image2;image3;image4;stock
CALEFACTOR LILIANA LE¥OS C/FORZADOR 700/1400 W CH218AR;CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;CALEFACTOR LILIANA LE¥OS C/FORZADOR 700/1400 W CH218AR;CALEFACTOR LILIANA LE¥OS C/FORZADOR 700/1400 W CH218AR;black;1.809,92;silla-1-1;silla-1-3;sofa banner;silla-1-2;4
"CALEFACTOR LILIANA INFRARROJO ""CALORE"" CCI080";CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;"CALEFACTOR LILIANA INFRARROJO ""CALORE"" CCI080";"CALEFACTOR LILIANA INFRARROJO ""CALORE"" CCI080";black;2.644,63;silla-1-1;silla-1-3;sofa banner;silla-1-3;14
"CALOVENTOR LILIANA ""DUAL HOT"" CCCFH510";CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;"CALOVENTOR LILIANA ""DUAL HOT"" CCCFH510";"CALOVENTOR LILIANA ""DUAL HOT"" CCCFH510";black;1.652,89;silla-1-1;silla-1-3;sofa banner;silla-1-4;1
"CALEFACTOR LILIANA INFRARROJO OSCILANTE ""INFRASOL"" 700/1400 W NEGRO CCIG100";CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;"CALEFACTOR LILIANA INFRARROJO OSCILANTE ""INFRASOL"" 700/1400 W NEGRO CCIG100";"CALEFACTOR LILIANA INFRARROJO OSCILANTE ""INFRASOL"" 700/1400 W NEGRO CCIG100";black;3.140,50;silla-1-1;silla-1-3;sofa banner;silla-1-5;2
"TURBOCALEFACTOR LILIANA ""HOTDECO"" PIE/PARED CCPPV500";CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;"TURBOCALEFACTOR LILIANA ""HOTDECO"" PIE/PARED CCPPV500";"TURBOCALEFACTOR LILIANA ""HOTDECO"" PIE/PARED CCPPV500";black;6.611,57;silla-1-1;silla-1-3;sofa banner;silla-1-6;1
TECNOTURBO LILIANA TECNOHOT CTCV100;CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;TECNOTURBO LILIANA TECNOHOT CTCV100;TECNOTURBO LILIANA TECNOHOT CTCV100;black;3.223,14;silla-1-1;silla-1-3;sofa banner;silla-1-7;1
TURBOCALEFACTOR LILIANA CCTC20;CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;TURBOCALEFACTOR LILIANA CCTC20;TURBOCALEFACTOR LILIANA CCTC20;black;2.190,08;silla-1-1;silla-1-3;sofa banner;silla-1-8;6
PANEL RADIANTE LILIANA INFRARROJO VULCANO 1200/2400 W CCCI640;CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;PANEL RADIANTE LILIANA INFRARROJO VULCANO 1200/2400 W CCCI640;PANEL RADIANTE LILIANA INFRARROJO VULCANO 1200/2400 W CCCI640;black;4.380,17;silla-1-1;silla-1-3;sofa banner;silla-1-9;9
"CALOVENTOR LILIANA ""MINISOL"" 1000/2000 W CCCFH400";CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;"CALOVENTOR LILIANA ""MINISOL"" 1000/2000 W CCCFH400";"CALOVENTOR LILIANA ""MINISOL"" 1000/2000 W CCCFH400";black;1.570,25;silla-1-1;silla-1-3;sofa banner;silla-1-10;1
"TURBOCALEFACTOR LILIANA ""CONFORTDECO"" PIE/PARED CCPPV400";CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;"TURBOCALEFACTOR LILIANA ""CONFORTDECO"" PIE/PARED CCPPV400";"TURBOCALEFACTOR LILIANA ""CONFORTDECO"" PIE/PARED CCPPV400";black;5.371,90;silla-1-1;silla-1-3;sofa banner;silla-1-11;2
"TURBOFORZADOR LILIANA TORRE ""TROPIC"" CCFTP530";CALEFACCION;CALEFACTORES ELECTRICOS;LILIANA;"TURBOFORZADOR LILIANA TORRE ""TROPIC"" CCFTP530";"TURBOFORZADOR LILIANA TORRE ""TROPIC"" CCFTP530";black;3.801,65;silla-1-1;silla-1-3;sofa banner;silla-1-12;2
"PROCESADORA LILIANA MANUAL ""TWISTMIX"" AAH910/911";ELECTRODOMESTICOS;PROCESADORAS;LILIANA;"PROCESADORA LILIANA MANUAL ""TWISTMIX"" AAH910/911";"PROCESADORA LILIANA MANUAL ""TWISTMIX"" AAH910/911";black;3.140,50;silla-1-1;silla-1-3;sofa banner;silla-1-13;5
LUSTRASPIRADORA LILIANA CON PA¥OS LL340;ELECTRODOMESTICOS;ASPIRADORAS;LILIANA;LUSTRASPIRADORA LILIANA CON PA¥OS LL340;LUSTRASPIRADORA LILIANA CON PA¥OS LL340;black;7.438,02;silla-1-1;silla-1-3;sofa banner;silla-1-14;2
"LICUADORA LILIANA ""DELUXLIX"" AL180";ELECTRODOMESTICOS;LICUADORAS;LILIANA;"LICUADORA LILIANA ""DELUXLIX"" AL180";"LICUADORA LILIANA ""DELUXLIX"" AL180";black;4.628,10;silla-1-1;silla-1-3;sofa banner;silla-1-15;1
"PAVA ELECTRICA LILIANA ""TEMPOMATE""/""MATEANDO"" AP975";ELECTRODOMESTICOS;PAVAS ELECTRICAS;LILIANA;"PAVA ELECTRICA LILIANA ""TEMPOMATE""/""MATEANDO"" AP975";"PAVA ELECTRICA LILIANA ""TEMPOMATE""/""MATEANDO"" AP975";black;3.016,53;silla-1-1;silla-1-3;sofa banner;silla-1-16;9
"BATIDORA LILIANA PLANETARIA ""POWERMIX"" AB910";ELECTRODOMESTICOS;BATIDORAS;LILIANA;"BATIDORA LILIANA PLANETARIA ""POWERMIX"" AB910";"BATIDORA LILIANA PLANETARIA ""POWERMIX"" AB910";black;14.049,58;silla-1-1;silla-1-3;sofa banner;silla-1-17;1
"HORNO DE PAN LILIANA ""FULL BREAD"" 45 L AFP910";ELECTRODOMESTICOS;HORNOS PARA PAN;LILIANA;"HORNO DE PAN LILIANA ""FULL BREAD"" 45 L AFP910";"HORNO DE PAN LILIANA ""FULL BREAD"" 45 L AFP910";black;6.198,35;silla-1-1;silla-1-3;sofa banner;silla-1-18;2
"BATIDORA LILIANA MANUAL ""VUELTY"" 300 W AB101";ELECTRODOMESTICOS;BATIDORAS;LILIANA;"BATIDORA LILIANA MANUAL ""VUELTY"" 300 W AB101";"BATIDORA LILIANA MANUAL ""VUELTY"" 300 W AB101";black;2.066,12;silla-1-1;silla-1-3;sofa banner;silla-1-19;1
"VENTILADOR DE PIE LILIANA 20"" PARR MET/ASPAS METALICAS VPM2016";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR DE PIE LILIANA 20"" PARR MET/ASPAS METALICAS VPM2016";"VENTILADOR DE PIE LILIANA 20"" PARR MET/ASPAS METALICAS VPM2016";black;3.966,94;silla-1-1;silla-1-3;sofa banner;silla-1-20;1
VENTILADOR DE TECHO LILIANA VTB100;FRIO/CALOR;VENTILADORES;LILIANA;VENTILADOR DE TECHO LILIANA VTB100;VENTILADOR DE TECHO LILIANA VTB100;black;3.801,65;silla-1-1;silla-1-3;sofa banner;silla-1-21;3
VENTILADOR DE TECHO LILIANA C/4 TULIPAS VTHM410;FRIO/CALOR;VENTILADORES;LILIANA;VENTILADOR DE TECHO LILIANA C/4 TULIPAS VTHM410;VENTILADOR DE TECHO LILIANA C/4 TULIPAS VTHM410;black;9.008,27;silla-1-1;silla-1-3;sofa banner;silla-1-22;4
"VENTILADOR INDUSTRIAL LILIANA 32"" VPI32";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR INDUSTRIAL LILIANA 32"" VPI32";"VENTILADOR INDUSTRIAL LILIANA 32"" VPI32";black;6.942,15;silla-1-1;silla-1-3;sofa banner;silla-1-23;8
"VENTILADOR DE PIE LILIANA 20"" CROMADO VVPC20B";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR DE PIE LILIANA 20"" CROMADO VVPC20B";"VENTILADOR DE PIE LILIANA 20"" CROMADO VVPC20B";black;4.297,52;silla-1-1;silla-1-3;sofa banner;silla-1-24;1
AIRE ACONDICIONADO TCL MIRACLE 5100 W F/C TACA-5100FCSA/MI2-SK;FRIO/CALOR;AIRES ACONDICIONADOS;LILIANA;AIRE ACONDICIONADO TCL MIRACLE 5100 W F/C TACA-5100FCSA/MI2-SK;AIRE ACONDICIONADO TCL MIRACLE 5100 W F/C TACA-5100FCSA/MI2-SK;black;36.776,86;silla-1-1;silla-1-3;sofa banner;silla-1-25;4
"VENTILADOR DE PIE LILIANA 20"" CROMADO VVPRC20";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR DE PIE LILIANA 20"" CROMADO VVPRC20";"VENTILADOR DE PIE LILIANA 20"" CROMADO VVPRC20";black;553,72;silla-1-1;silla-1-3;sofa banner;silla-1-26;1
"VENTILADOR DE PIE LILIANA 18"" ORBITAL CROMADO VVPRC18";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR DE PIE LILIANA 18"" ORBITAL CROMADO VVPRC18";"VENTILADOR DE PIE LILIANA 18"" ORBITAL CROMADO VVPRC18";black;619,83;silla-1-1;silla-1-3;sofa banner;silla-1-27;1
"VENTILADOR DE PARED LILIANA 30"" VVID30";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR DE PARED LILIANA 30"" VVID30";"VENTILADOR DE PARED LILIANA 30"" VVID30";black;6.776,86;silla-1-1;silla-1-3;sofa banner;silla-1-28;2
"TURBOVENTILADOR LILIANA 18"" ORBITAL CROMADO VVTRC18/VVOTRC18";FRIO/CALOR;VENTILADORES;LILIANA;"TURBOVENTILADOR LILIANA 18"" ORBITAL CROMADO VVTRC18/VVOTRC18";"TURBOVENTILADOR LILIANA 18"" ORBITAL CROMADO VVTRC18/VVOTRC18";black;3.305,79;silla-1-1;silla-1-3;sofa banner;silla-1-29;1
"VENTILADOR DE MESA LILIANA 16"" ORBITAL VSOC16";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR DE MESA LILIANA 16"" ORBITAL VSOC16";"VENTILADOR DE MESA LILIANA 16"" ORBITAL VSOC16";black;2.975,21;silla-1-1;silla-1-3;sofa banner;silla-1-30;3
"VENTILADOR DE PIE LILIANA 18"" PARR MET NEG/ASPAS PLASTICAS VPRN18";FRIO/CALOR;VENTILADORES;LILIANA;"VENTILADOR DE PIE LILIANA 18"" PARR MET NEG/ASPAS PLASTICAS VPRN18";"VENTILADOR DE PIE LILIANA 18"" PARR MET NEG/ASPAS PLASTICAS VPRN18";black;3.223,14;silla-1-1;silla-1-3;sofa banner;silla-1-31;8
"TURBO RECLINABLE LILIANA 20"" PARR CORMADA/ASPAS TRANSPARENTES VVBTR20";FRIO/CALOR;VENTILADORES;LILIANA;"TURBO RECLINABLE LILIANA 20"" PARR CORMADA/ASPAS TRANSPARENTES VVBTR20";"TURBO RECLINABLE LILIANA 20"" PARR CORMADA/ASPAS TRANSPARENTES VVBTR20";black;3.223,14;silla-1-1;silla-1-3;sofa banner;silla-1-32;4
